ticker,ts_utc,close
XLY,2025-01-06T14:30:00Z,228.18
XLY,2025-01-06T14:31:00Z,228.145
XLY,2025-01-06T14:32:00Z,228.43
XLY,2025-01-06T14:33:00Z,228.37
XLY,2025-01-06T14:34:00Z,228.04
XLY,2025-01-06T14:35:00Z,228.06
XLY,2025-01-06T14:36:00Z,227.82
XLY,2025-01-06T14:37:00Z,227.94
XLY,2025-01-06T14:39:00Z,227.6
XLY,2025-01-06T14:40:00Z,227.7
XLY,2025-01-06T14:42:00Z,227.865
XLY,2025-01-06T14:43:00Z,227.87
XLY,2025-01-06T14:44:00Z,227.67
XLY,2025-01-06T14:45:00Z,227.81
XLY,2025-01-06T14:46:00Z,227.82
XLY,2025-01-06T14:47:00Z,227.75
XLY,2025-01-06T14:48:00Z,227.59
XLY,2025-01-06T14:50:00Z,227.58
XLY,2025-01-06T14:51:00Z,227.49
XLY,2025-01-06T14:53:00Z,228.065
XLY,2025-01-06T14:54:00Z,228.15
XLY,2025-01-06T14:55:00Z,228.29
XLY,2025-01-06T14:56:00Z,227.89
XLY,2025-01-06T14:57:00Z,227.81
XLY,2025-01-06T14:58:00Z,227.9
XLY,2025-01-06T15:00:00Z,227.79
XLY,2025-01-06T15:03:00Z,227.96
TSLA,2025-01-06T13:12:00Z,420.0
TSLA,2025-01-06T13:50:00Z,421.01
TSLA,2025-01-06T14:01:00Z,421.45
TSLA,2025-01-06T14:19:00Z,420.43
TSLA,2025-01-06T14:30:00Z,421.98
TSLA,2025-01-06T14:31:00Z,420.5
TSLA,2025-01-06T14:32:00Z,424.89
TSLA,2025-01-06T14:33:00Z,422.64
TSLA,2025-01-06T14:34:00Z,421.99
TSLA,2025-01-06T14:35:00Z,420.4
TSLA,2025-01-06T14:36:00Z,421.32
TSLA,2025-01-06T14:37:00Z,419.7
TSLA,2025-01-06T14:38:00Z,418.09
TSLA,2025-01-06T14:39:00Z,417.29
TSLA,2025-01-06T14:40:00Z,420.635
TSLA,2025-01-06T14:41:00Z,420.7
TSLA,2025-01-06T14:42:00Z,421.01
TSLA,2025-01-06T14:43:00Z,420.17
TSLA,2025-01-06T14:44:00Z,418.0
TSLA,2025-01-06T14:45:00Z,418.66
TSLA,2025-01-06T14:46:00Z,417.28
TSLA,2025-01-06T14:47:00Z,418.31
TSLA,2025-01-06T14:48:00Z,418.36
TSLA,2025-01-06T14:49:00Z,418.16
TSLA,2025-01-06T14:50:00Z,417.3
