tweet_id,author,text,timestamp_utc,is_retweet,is_deleted,ts_confidence
1698308935,trump,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,2009-05-04T17:54:00.000000+00:00,False,False,min
1701461182,trump,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,2009-05-05T00:00:00.000000+00:00,False,False,min
1737479987,trump,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman: http://tinyurl.com/ooafwn - Very funny!,2009-05-08T12:38:00.000000+00:00,False,False,min
1741160716,trump,New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way: http://tinyurl.com/qlux5e,2009-05-08T19:40:00.000000+00:00,False,False,min
1773561338,trump,'My persona will never be that of a wallflower - I’d rather build walls than cling to them' --Donald J. Trump,2009-05-12T13:07:00.000000+00:00,False,False,min
1776419923,trump,Miss USA Tara Conner will not be fired - 'I've always been a believer in second chances.' says Donald Trump,2009-05-12T18:21:00.000000+00:00,False,False,min
1786560616,trump,Listen to an interview with Donald Trump discussing his new book,2009-05-13T16:38:00.000000+00:00,False,False,min
1796477499,trump,'Strive for wholeness and keep your sense of wonder intact.' --Donald J. Trump http://tinyurl.com/pqpfvm,2009-05-14T15:30:00.000000+00:00,False,False,min
1806258917,trump,Enter the 'Think Like A Champion' signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest/,2009-05-15T13:13:00.000000+00:00,False,False,min
1820624395,trump,'When the achiever achieves,2009-05-16T21:22:00.000000+00:00,False,False,min
1826225450,trump,'Don’t be afraid of being unique - it's like being afraid of your best self.' --Donald J. Trump http://tinyurl.com/pqpfvm,2009-05-17T14:00:00.000000+00:00,False,False,min
1836131903,trump,'We win in our lives by having a champion's view of each moment.' --Donald J. Trump http://tinyurl.com/pqpfvm,2009-05-18T13:26:00.000000+00:00,False,False,min
1849558306,trump,'...these days...we could all use a little of the power of Trumpative thinking.' –BarnesandNoble.com http://tinyurl.com/pqpfvm,2009-05-19T16:43:00.000000+00:00,False,False,min
1859044981,trump,'Always know you could be on the precipice of something great.' --Donald J. Trump http://tinyurl.com/pqpfvm,2009-05-20T12:25:00.000000+00:00,False,False,min
1864367186,trump,Read a great interview with Donald Trump that appeared in The New York Times Magazine: http://tinyurl.com/qsx4o6,2009-05-20T21:29:00.000000+00:00,False,False,min
1878373267,trump,'Keep it fast,2009-05-22T01:59:00.000000+00:00,False,False,min
1884022748,trump,Don't forget to enter the 'Think Like A Champion' signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest,2009-05-22T15:28:00.000000+00:00,False,False,min
1894284587,trump,Did you know Donald Trump is on Facebook? http://www.facebook.com/DonaldTrump - Become a fan today!,2009-05-23T15:11:00.000000+00:00,False,False,min
1924074459,trump,'Your higher self is in direct opposition to your comfort zone.' --Donald J. Trump http://tinyurl.com/pqpfvm,2009-05-26T13:42:00.000000+00:00,False,False,min
1936022874,trump,Read an excerpt from Think Like A Champion by Donald J. Trump: http://bit.ly/11FHpR,2009-05-27T13:18:00.000000+00:00,False,False,min
1949899014,trump,'You have to know when to call it quits and when to keep moving forward.' --Donald J. Trump http://www.trumpthinklikeachampion.com,2009-05-28T17:03:00.000000+00:00,False,False,min
2019316195,trump,Check out Donald Trump's new iGoogle Showcase page: http://bit.ly/DdD2A,2009-06-03T17:19:00.000000+00:00,False,False,min
2045871770,trump,“If you don't have problems,2009-06-05T17:21:00.000000+00:00,False,False,min
2080633709,trump,Last week to enter the 'Think Like A Champion' signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest/,2009-06-08T19:15:00.000000+00:00,False,False,min
2165353946,trump,Today is Donald Trump's Birthday! Send him your B'day wishes here: http://www.facebook.com/DonaldTrump,2009-06-14T13:25:00.000000+00:00,False,False,min
2184650461,trump,Thanks to all for your thoughtful birthday wishes – Donald Trump,2009-06-15T22:13:00.000000+00:00,False,False,min
2222067805,trump,RE: FB Vanity URLs: SF Chronicle - 'David Beckham was one of the first,2009-06-18T12:26:00.000000+00:00,False,False,min
2266041769,trump,- Wishing a Happy Father's Day to all the Dad's out there - YOU are a champion today and everyday! http://tinyurl.com/kn95ju,2009-06-21T13:47:00.000000+00:00,False,False,min
2294519255,trump,“Expand your life every day.” –Donald J. Trump http://tinyurl.com/pqpfvm,2009-06-23T12:40:00.000000+00:00,False,False,min
2317112756,trump,Donald Trump’s commercial-free WWE Raw does big rating: http://tinyurl.com/nxvquo,2009-06-24T21:09:00.000000+00:00,False,False,min
2346367430,trump,RE: Michael Jackson: 'He was a great friend and a spectacular entertainer. It’s a devastating loss!' -Donald J. Trump,2009-06-26T15:51:00.000000+00:00,False,False,min
2403435685,trump,Watch a powerful and frank interview with Donald Trump about the economy on Greta Van Susteren's On The Record: http://tinyurl.com/mmjked,2009-06-30T12:32:00.000000+00:00,False,False,min
2475429091,trump,Here's to a safe and happy Independence Day for one and all - Enjoy it! --Donald J. Trump,2009-07-04T22:19:00.000000+00:00,False,False,min
2614325575,trump,'Be aware of things that seem inexplicable because they can be a big step towards innovation.' --Donald J. Trump http://tinyurl.com/pqpfvm,2009-07-13T13:03:00.000000+00:00,False,False,min
2650952843,trump,Donald Trump backs 'Apprentice' Randal Pinkett for N.J. Lieutenant Governor: http://tinyurl.com/mvovzb,2009-07-15T12:40:00.000000+00:00,False,False,min
2779566791,trump,Congrats to winners from around the world who entered the 'Think Like A Champion' signed book/keychain contest! http://tinyurl.com/pqpfvm,2009-07-22T14:32:00.000000+00:00,False,False,min
2891870497,trump,Check out a list of Donald Trump's books for summer reading at the Trump University Blog: http://tinyurl.com/knyswt,2009-07-28T14:50:00.000000+00:00,False,False,min
3124382438,trump,Browse Donald Trump's Summer Reading List for Business Success at the Trump University Blog: http://tinyurl.com/n5468r,2009-08-04T12:50:00.000000+00:00,False,False,min
